title,content
Beko Depremde Ekranı Kırılan TV,Gaziantep'te deprem nedeniyle düşen ve ekranı kırılan Beko marka televizyonum için servisi aradım 3-4 defa konuşmama rağmen depremde zarar gören eşyalar için çalışma olabilir bekleyin servis arayacak dendi. En son olan konuşmamda öyle bir şey olmadığını belediyeye başvurmam söylendi. Bir buçuk ay bekletip ücretsiz onarım olmayacağını söylediler. Anlayacağınız yalnızca beklettiler. Eşyalarımın hepsi Beko Arçelik ®. Bir Türk firması olarak ücretsiz onarım veya indirimli onarım beklerdim hayal kırıklığına uğrattılar.
Beko Bayisi Sıfır Diye Teşhir Ürün Yolladı,Ağrı merkez bayiden. Beko73 61 NFB model sıfır derin dondurucu aldım. Ürünü yarın teslim ederim dedi işte olduğum için eşim aldı ürünü. Eve ® geldiğimde ürün gözüme kullanılmış gibi geldi. Dikkatlice baktım üründe deformeler vardı çizikler vardı. Yani teşhir ürünü yollamıştı.Tekrar bayiyi aradım bana teşhir ürünü mü yolladın diye sordum. Açıklaması stokta ürün olmadığı için dükkandaki teşhir ürününü yolladığını söyledi. Benim bilgim olmadığını ve bunu nasıl yolladığını sorduğunda hemen değiştiriyoruz sipariş giriyorum gibi cümleler kullandı. Direkt bayiye gittim. Bayiye gittiğimde ise bana neden sıfır ürün vermediğini bana ikinci el ürün neden verildiğini sordum. Açıklaması ürün ikinci elde değil. Yani özrü kabahatinden daha büyük bir özür bile dilemedi yani.Müşteri hizmetlerini aradım müşteri hizmetleri ile görüştüm. Ürünü pazartesi sipariş vereceğini söylediler. Yani buradaki önemli olan ürünü göndermesi değil neden böyle bir şey yapıldı. Başka bir kişilere de böyle yapıldı mı diye bir sorgularım yani. Beko gibi büyük bir markanın böyle insanlara nasıl bayilik verdiğini de anlamış değilim. Bir an önce ürünün bana ulaşmasını istiyorum. Bayi ile görüştüğümde ise stokta varsa sipariş edeceğini söyledi stokta yok ise ben ürünü bekleyecek miyim? Üst modelinin yollamasını istiyorum.
Beko Android TV Kanal Numarası Siliniyor,Beko Android televizyonu aldım. Fakat televizyonun Live TV kısmında hatalar var. Silinen kanalın yeri boş kalıyor. Örneğin üçüncü sıradaki kanalı silince yeri boş. 2 den 4 e atlıyor 3 artık yok oluyor. Çok televizyon değiştirdim ben hayatımda böyle bir şey görmedim.
Beko Deprem Ve Sorumsuzluk,440161134 numaralı servis talep ile ilgili şikayetim var ®. Hatay'da depremden dolayı buzdolabım hasar gördü. Gelen servis kayıtsız bir şekilde ilgilenmeden direk garantisi olduğu halde 450 TL masraf çıkarttı. İnsanların bu zor günlerinde yardım edeceğine daha da mağdur ettiniz. Diğer firmalar direk değişim yapıyorlar ya da mağdur etmeden çözüm sunuyorlar. Bir dünya markası olan Beko müşterisini ciddiye bile almıyor. Ayıp denen bir şey var.
Beko Çamaşır Makinesi Perdeleri Kırışık Çıkartması,Beko çamaşır makinesi o kadar doğru uygulamalar yapmama rağmen perdelerimi aldığım günden beri kırıştırıyor. Perdelerim hep kırışık ve yeni perde aldım hiç sıkma yapmama rağmen yine kırıştırdı. En iyi en kaliteli deterjanlarla yıkamama rağmen ve yumuşatıcı hiç kokmuyor.
Beko Ürünlerin Sorunu Bitmiyor,Daha önce de Beko ile ilgili şikayette bulunmuştum verdikleri çamaşır makinesi düzen tutmuyor banyoda sağa sola geziyor bir üst modelini verdiler. Sonra yine aynı makine geziyor ve sağında solunda çürümeler boya atmaları rahatsız edici sesler çıkmaya başladı. Makine sıkmaya gelince üzerine bastırıyoruz yerinden oynamasın diye servis çağırdık dediği kelimeyi aynen aktarıyorum ne bekliyorsunuz abi şimdi çıkanların hepsi teneke gibi ince saç dediler ve çamaşırın kilosuyla ilgili gezinme dediler. Daha önceki servis gibi yani hiçbir zaman üretici hatası olmuyor ne hikmetse hatayı hep tüketiciye buluyorlar.Televizyon aldım 2 tane birini neredeyse 7/24 kullanıyorum hiçbir şey yok diğeri misafir odasında 2.5 sene içinde en fazla 4 ay kullanılmıştır oda sürekli kullanım değil kartı değişecek fiyatı 4500 TL dediler.Sebil aldım eve ® geldiği gün arızalı çıktı değişim yaptılar buzdolabı aldım garantinin bitimine bir gün kala arıza yaptı ben eski Beko'yu arar oldum bu yeni model Beko'dan nefret etmeye başladım ya kardeşim ne aldıysam ya garanti bittikten sonra ya başında ya da bitimine doğru arıza veriyor. Verdiğimiz paraları çöpten toplamıyoruz.Eğer ki 2 sene veya garanti bitiminden sonra beyaz eşyalar bozuluyorsa sorumlusu Beko'dur ben satın alırken iki sene garantiyle alıyorum iki sene sonra bozulacak bir beyaz eşyaya neden para vereyim servis bir gün önce 1750 TL fiyatı var dediği televizyona bir gün sonra evime gelip 4500 TL masraf var diyor hep çelişki.Bu hususu gerekirse Tüketici Hakem Heyeti ®'ne gerekirse adlı mercilere taşıyacağım kendi kendime tık oldum acaba sırada hangi beyaz eşyam var bozulacak düşünmeden edemiyorum Beko'nun bu kadar kendini kalitesini düşüreceği aklıma gelmezdi ama şu an benim gözümde yerlerde sürünüyor bana sorsalar bir daha Beko kullanır mısın asla kapıdan içeri sokmam. Beko mağazası olan yerden de geçmem çözüm odaklı değil Beko'nun yaptığı tüketiciyi resmen mağdur etmek bozulsun yenisini alsın mantığı işliyor kafalarında.
Depremzede Ağır Hasarlı Beko Garantili Buzdolabı Değişimini Yapmıyor!,07/2020 tarihinde Hatay / Antakya'da almış olduğum Beko 720 litre buzdolabı bana üst kapakta darbe ve alt kapakta kendiliğinden açılma kusuruyla gelmiş olup ileri ki zamanlarda da motorundan ses çıkıyordu defalarca değişim istememe rağmen gelen servis elemanları bu benim taşıyan çalışanımın maaşından kesilir vs gibi ifadelerle değişimden kaçındı bana akımlı priz satmaya çalıştı o da olduğundan pahalı bir fiyata ve şu an deprem nedeniyle de ürünüm ağır hasar aldı garanti süresini de uzatmıştım dün gelen servis elemanı değişim talebimi iletmemiş olup halen bana kapak ve fiş değişimi yapacağını ifade ediyor ama benim ürünümün hasarı daha çok gövde kısmında ben değişim istiyorum hiçbir şekilde sorunuma çözüm bulamıyorum zaten büyük bir felaket yaşadık evimden çıkarabildiğim 3 5 eşyadan biri madem bu doğal afetler garanti kapsamına girmiyor biz neden bu kadar fiyat ödüyoruz ben çok mağdurum bu sorunuma çözüm talep ediyorum. Arçelik ® tarafından da arandım hiçbir şekilde yardımcı olmadılar Türk markası diye güveniyoruz alıyoruz büyük hayal kırıklığı yazık bir tekmede kendi üreticimizden yedik.
Beko Ankastre Fırının Boyası Kalktı,Beko ankastre fırın aldım ana gövdesinin boyası kalktı 1 sene oldu daha ve fazla kullanılmadı sonra garantisi var ve aradım servisi resim istedi oturduğu yerden tüketici hatası olduğunu söyledi resimlerden anladı bunu ve ben eminim bizden kaynaklı bir şey olmadığını gerekli yerlere şikayet edeceğim.
Beko Çamaşır Makinesi Değişim Talebi,Beko çamaşır makinesi ana kart arızası verdi. Cihaza elektrik gelmiyor. Servis çağırdık ana kart dediler. Yeni parça geldi ve takıldı fakat cihaza tekrar elektrik gelmiyor. Bu durumu video kaydı ile tekrar servise ilettik Beko ise bizimle görüşelim dediler. Ben kaç gündür çamaşır makinesini kullanamıyorum. Cihaz 6 ay garanti kapsamında ve evrakları tamam. Ben tüm beyaz eşya alışverişimi Beko'dan yapmıştım. Bu cihazın sıkıntı çıkarmaması gerekiyordu ama maalesef akıbet aynı ana kart değişti fakat yine aynı hata meydana geldi. Kullanamadıktan sonra niye alayım ki çamaşır makinesi? Bu ayıp bir mal ve cihaz değişim talep ediyorum.
Beko Tv'de Yok Yok,Henüz kaç aylık olan Beko televizyonumuzda yok yok. Değişim ürünü olarak gelen televizyonumuzda ürün montajı yapıldığı esnada kurulumunun daha önceden yapılmış olduğunu ve televizyonumuzun hazır şekilde geldiğini daha önceden kullanılmış olduğunu tespit ettik. Bunu yetkili servise o an söylememize rağmen fabrikada test ediliyor ondan kurulumu önceden yapılmıştır gibi komik bir cevap aldık. Onu geçtim televizyonumuz ikince elde olsa kullanalım dedik fakat TV ekranı gün içinde sık sık gitmeye başladı. Ekran yok ama ses var komutları algılıyor ( ayrıntılar yüklediğim videoda mevcut ) ayrıca televizyondan saçılan ışık süzmeleri ve ölü pikseller çeyiz hediyesi olarak üstüne eklenmiş sanırım. Bütün ürünlerimi Beko'dan aldım ama pişmanlık yaşıyorum sorunumun düzeltilmesini talep ediyorum.
Beko TV Kumanda Ok Tuşu,Beko marka televizyonda kumandanın ok tuşu menüsü açılmıyor TV algılıyor ancak menü açılmıyor bir ara gitti tekrar geldi ancak bu sefer geriye gelmedi. Bu sebeple bir çok zorluk çekiyorum. Yardımcı olmanızı rica ediyorum kumamdanın diğer tüm işlevleri yerinde ok ve sayılarda sıkıntı var
Beko D1 4001 Eı Üst Sepet Paslandı,Beko d1 4001 eı model bulaşık makinesi üst sepeti paslandı. Her yeri dökülüyor sepetin. Ayrıca kapağın altındaki plastik iç conta resmen çürümüş temizlik yaparken elimize parçalar gelince fark ettik. Lastik resmen erimiş. 2014 yılında aldığım makinenin içi nasıl bu hale gelir lütfen biri aydınlatsın.
Beko Servis Yedek Parça,23 Mart'ta 200 TL ödeyerek yetkili servis çağırdık. Servis ürünün yedek parçaya ihtiyacı olduğunu söyledi fakat ürünün üretimi yok. Muhtemelen parça fiyatına muadili ile yardımcı olunabilir dendi. Çağrı merkezinin tarafımıza dönüşü ürün üretiminin 10 yılı geçtiğinden dolayı yedek parça tedarik edilemeyeceği şeklinde oldu. Ne yapabiliriz dediğimde hurdaya verin yanıtı geldi. Ben alalı 10 yıl dolmadı. Normal şartlarda çözümlenmesi gerek. Bu yanıtları için açıklamalı bir belge istedim fakat dönüş yapan olmadı. Neye göre karar veriyorlar? Prosedüre uymuyorlar anlamıyorum.
Beko Marka Buzdolabı Ve Çamaşır Makinesi,Yeni aldığımız buzdolabı ikinci kez soğutmuyor. Servis geldi fakat yine aynı sorun oluştu. Yine Beko marka çamaşır makinesi çok fazla ses yapıyor ve sallanıyor. Bu ürünler daha 6 aylık yeni makine nasıl bu kadar gürültü yapar ve tak tak diye ses çıkarır anlamıyorum. Beko marka aldığım için çok pişmanım.
Beko Yanlış Buzdolabı Yolladı,Beko Büyükçekmece Erdoğanlar mağazasından 3 gün önce 15.500 TL Nakit ödemeyle buzdolabı aldım yanlış buzdolabı getirdiler ve değişim yapmıyorlar Beko çağrı merkezini aradım onlarda çözüm üretmiyor para iadesini yapıp malınızı geri alın.
Beko Televizyon Kurulum Ücreti,32 inc 80 ekran televizyon aldım müşteri satış yerinden servis çağırdım televizyon küçük diye kurulum ücreti talep ettiler Beko kurumsal firma servislere böyle talimat erdi dediler. Müşteri temsilcisini aradım hiçbir şekilde yardımcı olmadı yetkililere duyurmak istedim CİMER ® veya tüketici hakem mahkemesine başvuracağım.
Beko Marka Kombi Mağduru Oldum,Beko kombi 10 gün içerisinde 3 defa aynı arızayı verdi servis her seferinde parça değiştirdi ve olmayınca değişim talebinde bulundum fakat firma değişimi reddetti... Neye göre reddedildi onu da anlamış değilim. Ramazan ayında evde sıcak su yok peteklerde ısınmıyor iki çocukla mağdur olduk habire parça değişimi için bekliyoruz ama yine arıza veriyor evde tüm eşyalarım Arçelik ®. Bu kadar büyük bir firmanın müşteriyi anlamsızca mağdur etmesi hiç hoş bir durum değil bilseydim almazdım...
Beko Servis Duyarsız Davrandı,Beko şofben aldım takılması ve montesi konusunda sıkıntı yaşandı. Kolonla duvar arasında santim mesafe olduğu için yanlış taktılar vidalar attı bir daha denediler takamazsak bırakıp gideriz dendi şikayetçiyim. Böyle bir kuruma yakışmadı devamlı kullandığım bir ürün.
Beko Satın Aldığım Ürünleri Başkasına Satıp Elimizde Kalmadı Dediler,Beko çeyiz paketi aldık fakat ürünler burada kalsın ben evim hazır olduğun da isteyecektik. Üstünden 2 ay sonra ürünleri istedik içlerinden 4 parça elektronik olan ürünlerin elimizde kalmadığını onlar yerine yeni ürünleri koyup fiyat farklarını çıkarmaları oldu.Ürünü satıyorsan ayırman gerekirdi. Belki de yalan söylüyorlar 1 liraya aldığımız bir parça ürünün 2 ay sonra fiyatının artığında ürünü teslim etmek istemiyorlar. Sonra yeni gelen ürünleri yeni fiyatlarıyla listeye dahil edip sana 2 ürün birden satmış gibi kadar yapıyorlar. Belki de yok dedikleri ürünlere zam yapıp tekrar satıyorlar. Ama bunu bilemiyoruz. Müşteri hizmetleri size gerekli sorunu çözeceğini söylüyor. Sonra hiçbir şey olmamış gibi davranıyorlar. Beko kendisi ne ki bayileri dürüst olsun.
Beko Çamaşır Makinesi Ses Sorunu,Beko 9101 ey kodlu çamaşır makinesi 1.5 yılda defalarca servis geldi ama sesi asla ve asla kesilmiyor. Buraya da kaçıncı şikayet yazışım bilmiyorum. Makine hakkında hiçbir zaman şikayetim bitmediği için en son aldığım yer ile görüştüm benden servis kayıtlarını istedi ben de sizlere ulaşıp istedim. Beni 3 haftadır uğraştırıyor. Defalarca arayıp göndermelerini istedikten sonra 10 gün önce kadar servis kayıtlarını gönderdi fakat 1 tanesi eksik hemen aradım tamam dediler geçen hafta aradım yine tamam dediler ama hala hiçbir şey gönderen olmadı. Çamaşır makinesi mi aldık başımıza dert mi aldık bilemiyorum.
Sendeo Kargo ve Beko Online Mağaza Sorunu,Beko online mağazasında internet sitesinde blender seti aldım .Kargo 15 gün sonra geldi gelen kargo kutusu pertti kargocu resmen bir bıraktı kaçtı Sendeo ® diye bir kargo şirketi satıcı ürünü direk kutusuyla yollamış herhangi bir koruma poşet kutu hiçbir şey yoktu ve aradığımda kargo ücretini ver yolla dedi sonrada aç üründe sorun varsa servis çağır dedi dalga geçer gibi.
Beko Çamaşır Makinesi Yıkama Süresini Çok Uzatıyor,31 /12/2022 aldığım Beko efsncm 10120 (10 kg 1200d/d Premium kapak çamaşır makinesi) 17 Ocak 2023 ürünümü getirdiler. Makinem geldiği günden bu yana yıkama süresinin çok üstünde çalışıyor bu sebeple hem kıyafetlerim zarar gördü hem de elektrik faturam iki kat gelmeye başladı. Yeni makine olmasına rağmen aşırı ses çıkarıyor. Gerekli şikayetlerimi ilgili teknik servis ve çağrı merkezlerine yapmama rağmen bir çözüme ulaşamadım. Satış sonrası hizmeti maalesef göremedim. Müşteri olarak ellerinde oyuncak ettiler. Teknik servis tam bir fiyasko gerekli bilgi donanımına sahip olmayan (çözümü bile başka programda yıkama yapın deterjanı az koyun vs) saçma anlamsız cümlelerle geçiştirip durdular. 2 aylık makinemin 1 ayı serviste hala çözüme ulaşamadık ve ben bu durumdan oldukça mağdurum. Lütfen artık ilgi kişilerin bir an önce bu soruna el atmasını ve para iademin yapılmasını rica ediyorum.
Beko Bulaşık Makinesi Arıza,Bulaşık makinemiz kendi kendine çalışıyor içinde su biriktiriyor aynı arıza yüzünden 2 kez servis çağırdık farklı parçalar değiştirilip bizden sürekli hem servis hem parça parası alındı makineyi atölyeye de götürdüler ama aynı arıza devam ediyor servisi bir kez daha aradım sizden servis ücreti alınacak diyorlar arızayı çözemeyip her seferinde boş yere para ödüyoruz makinenin kodu bm3003. Gerekli kontrolleri yapmanızı ve artık sıkıntımızı çözmenizi bekliyorum.
Beko Buzdolabından Alt Kısmından Su Geliyor,Yaklaşık bir yıldır bu sorunu yaşıyorum. Kesinlikle destek olunmadı. Servis geliyor çözüm sunamıyor. Destek bekliyorum sizlerden Beko kesinlikle destek olmuyor. Ürünlerinin sorunu çözemiyor sorunum halen devam ediyor. Elektrik akımına kapılacağız bu sorundan dolayı.
Beko  Buzdolabı Cam Alt Kapak Tuzla Buz Oldu,Beko marka siyah cam buz dolabımızın alt kısmındaki camlı kapak darbe aldı. Buzdolabı rafından Küçük bir plastik şişesinin düşmesi sonucu sanki Atom bombası düşmüşcesine çıt çıt sesiyle alt kapak tuz buz oldu.Bu kadar küçük bir darbe ile alt kapağının tuzla buz olması bizi açıkçası şaşırttı. Beko bu konuda taviz vermeyeceğini düşünerekten mağduriyetimizin giderilmesini bekliyoruz. Alt kapak camına binlerce lira vermek istemiyoruz lütfen ürününüzün arkasında durun! Sabaha kadar cam çıtlamaya devam etti.
Beko Ürünlerinin Sorunları Bitmiyor Müşteri Hizmetleri İlgisiz,Beko marka aldığım bulaşık makinesi alt tablasının boyası dökülüyor ve içindeki süngeri çıkıyor üst tablası da boya atıyor. Bu iki sorunun giderilip kapaklarının değiştirilmesini istiyorum. Bu ürünlere bir ton para verip ek garanti yaptık yazık günah ya buzdolabının lastik kısmını değiştirttim şimdi o da tutmuyor 2 ürün içinde ek garanti yaptık müşteri hizmetleri arayıp abuk subuk konuşuyor. Sizden kaynaklı ise ücret alınır diye. Hayırdır neymiş benden kaynaklı olan? Buzdolabı lastiği değiştiğinde tutmadığını servis elemanı da gördü birkaç güne düzelir dedi aylar oldu üst tablanın alt tablanın boya dökmesi neden benden kaynaklı olsun hayırdır ürünlere ait faturam da var görselimde Tüketici Hakları'na şikayet edeceğim.
Beko Buzdolabından Çıkan Aşırı Ses,Haziran 2021 de Beko markalı buzdolabı aldım. Aldığım ilk günden beri rahatsız edici bir şekilde ses geliyor. Bunun için 3 sefer servis çağırdım ver her seferinde normal deyip gittiler. Özellikle bu dolap ® modeller de 42 desibel sesle çalışması gerekirken bu ses oldukça fazla. Beko'nun eski müşterisiyim ve çok pişmanım güvenip aldığım için. Buna çözüm bulmanızı istiyorum.
Beko Bulaşık Makinemin 3 Defa Motoru Yandı,6 yıllık evliyim. Şu an fiyatı 12 bin olan Beko bulaşık makinesinden hiç yüzüm gülmedi. 3 defa motor değişti yine aynı hatayı yaptı. 2 ayda 2. Çalıştırmaya servis geliyor. Motoru takip parayı alıp gidiyor. 9 aylık hamileyim. Elimde yıkıyorum su pompasında sorun olabilir diyor..
Beko'nun Kötü Servisi Ve Bozuk Ürünleri,Beko yazarkasa pos cihazımda ( cihazın yeni olmasına rağmen ) sinyal sorunu vardı defalarca servise gitti. Servis sorunu çözdük dedi çözülmedi 1 ay boyunca bu cihazla uğraştım. Bu süre zarfında ciddi miktarda zarara uğradım ayrıca benden utanmadan servis ücreti istediler onu da verdim. Dükkanda daha fazla zarara uğramamak için yeni cihaz aldım ( Beko 300 ) TR 4000TL ücret ödedim bu cihazında fiş çıkartma sorunu başladı 2 gün sonra servisten gelen cihaz şu an çekim yapmıyor resmen sağlam cihazı bozup geri göndermişler. Yaşadığım bunca çileyi uğradığım bunca zararın hesabını kim verecek? Yazıklar olsun sizin gibi firmaya hakkımı helal etmiyorum ve emin olun bundan sonra sizin markanız olan hiçbir ürünü satın almam.
Beko Beyaz Eşyalarını Aldığıma Pişmanım,Bir buçuk yıl önce makinelerimin hepsini Beko'dan aldım çok geçmeden pişman olmaya başladım çamaşır makinesi siyahları o kadar kirli bırakıyor ki o koku kötü. Müşteri hizmetlerimin dediklerinin hepsini yaptım ama nafile yıkanmadan önce daha güzel kokuyor desem yeridir. Bulaşık makinesi desen üç kez tamire gitti suyu fazla verme hatası veriyor su tamamen üretim kaynaklı şimdi ise bulaşıkları kötü yıkıyor bir TV de sıkıntı olmadı oda bakalım ne zamana kadar dayanacak. Ben çok pişmanım
Beko Çamaşır Makinesi Arıza,Çamaşır makinem defalarca servise gitti geldi her seferinde farklı arıza çıkıyor servis asla kabul etmeyip sürekli bizi suçlama derdinde. Simdi de motor değişecek deyip basıp gittiler. Bıktım artık sorumsuz servislerinizden. Asla bir daha Beko markasını evime sokmam.
Beko Ankastre Fırın Alarm Hatası,Elektriklerin gidip gelmesinden sonra Beko ankastre fırının alarmını susturamıyoruz servis garanti kapsamında olmadığı için 200 TL arıza tespit ücreti talep ediyor galiba ilave onarım bedeli de isteyecek... Kullanıcı hatası olarak değerlendirilemeyecek bu durum için nasıl bir yol izlemem konusunda firmadan açıklama bekliyorum.
Beko Servis Hizmeti Problemi,Beko bayisinden anneme ankastre set aldım montajı yapıldıktan sonra ocak üzerinde derin çizik olduğunu fark ederek annem ertesi gün Beko servisini aradı. Servis ürünü inceleyip gitmiş belli bir zaman geçtikten sonra ürünlerin montajını yapan kişiler kontrole gelmiş ve sadece ürünün camını değiştirebiliriz gözden kaçırmışız denilmiş annem ocağın değişimini istiyorum dediğinde ''ev aldığında duvarı çizik olmuyor mu? Senin çizmediğini nereden bileceğim'' tarzında konuşarak gitmişler. 22.03.2023'te servis tekrar kontrole geldi. 39 gün oldu ve ortada bir sonuç yok annem ürünleri kullanmıyor takıldıkları günkü gibi durmaktalar.Montaj esnasında evde olsaydım çizik ürünü takabilecekler miydi? Yaşlı bir kadın yerine karşısında ben olsaydım ''ev aldığında çizik...'' tarzında konuşulabilecek miydi?Kullanmadığımız bir ürünün boydan boya derin çizik olması kabul edilebilecek bir durum değil Ramazan geldi annem ocağı kullanmıyor. Gerçekten yazık.
Beko Mağduriyetimi Giderilmiyor,Beko'dan cumartesi günü ürünümü aldım peşinat verdik bir hafta oluyor hala ürünüm gelecek çok mağdurum. Daha önceden de aldım ürün iki tane böyle olmadı. Çok sinirliyiz. Öbür taksitimiz gelecek hala ürün yok. Gelmeyen ürüne taksit nasıl ödenir bilemedim 😡😡😡😡😡😡😡😡😡😡😡.
Beko Bulaşık Makinesi Yıkama Problemi,Geçen yıl aldığım Beko bulaşık makinesini aldığım günden beri eşimin şikayetleri bitmedi sürekli çıkan bulaşığı tekrar yıkamak zorunda kaldığı ile şikayeti var bu sebep ile artık bulaşıkları sudan geçirmekte ve su tasarrufu yalan olmaktadır en kaliteli deterjan kullandığımızı da belirtmek isterim.
Beko Depremzedeye Bir Mağduriyet Daha,"Hatay Antakya'da ikamet ettiğim sürede 7.6 Lik olan deprem meydana geldi 15 yıl önce almış olduğum televizyon duvara monteliydi hiçbir şekilde yere düşme çarpma vs olmadı
Evden eşyalarımı aldım televizyonumu denedim Beko yazısı çıkıyor ve kapanıyordu İzmir menemende servisi aradım gelip aldılar ve bu cihazın garanti ile yapılamayacağını söylediler ve onarım ücreti olarak 7000 TL talep ettiler. Ben Türk malı televizyon alıyorum fakat koskoca Koç şirketi Beko firması benim ekstra garantisi olan televizyonumu garanti kapsamında yapmıyor zaten mağduruz mağduriyet üzerine mağduriyet yaşatıyorsunuz."
