title,content
Arçelik Kahve Makinesi Pişirmiyor,Yaklaşık 4 ay önce aldığım Arçelik 9961 kahve makinem kahve kafasına göre ya pişiriyor ya pişirmiyor. Bozuk yani. 1 haftadır da serviste aranıp yapıldığı iletiliyor ben de bu yüzyılda cezvede kahve pişirmeye uğraşıyorum bana sorunlu ürün satılmış yeni ile değişim yapılmasını istiyorum. Aksine daha yeni makinem çiziksiz nasıl gelecek endişesindeyim.
Arçelik Kurutma Makinemin Sürekli Arıza Çıkarması,Arçelik marka kurutma makinesi almıştım 8 ay önce 8 ay içinde 2. Kez aynı hatayı veriyor. Aynı parça yine değişiyor. Ama ürün değişmiyor. Ne demek oluyor bu? Ürün sürekli aynı hatayı veriyorsa ve aynı sorun yaşanmaya devam ediyor. Ürünü değiştirmek zorunuza mı gidiyor? Hatalı ürünü kabul etmek yerine parça değiştir gönder ne güzel müşteri memnuniyeti ne güzel malınızın arkasında duruyorsunuz? Benim ürünümün daha taksiti bitmemiş sürekli servise gönderiyorum. Çamaşır makineme verdiği zarar da cabası.
Tamir Edilmeyen Arçelik Tv,Arçelik marka televizyonumuzun tamiri için yetkili servise göndermek istedik fakat ürünün tamiri için gerekli parçanın olmadığını söylediler. Bizim televizyonumuz yenileyin denildiğinde de yenilenemiyor diye bir yanıt alıyorum. Biz bu televizyonu ne yapacağız çöpe mi atalım yani bir çözüm üretemiyorlar yapıcı olmuyorlar. Yeni elektronik bir ürün alırken herkesin bu durumu göz önünde bulundurup ona göre marka seçimini yapması gerekir.
Arçelik Arızalı Çamaşır Makinesi,Arçelik çamaşır makinesi alındı 1 sene oldu. Tam 3 parça değişimi yapıldı. Makine aşırı ses yapıyor bunun için servis tam 3 kere geldi. Parça değişti fakat makine hala aynı aynı sesi çıkarmakta. 1 sene olan makine için 3 defa parça değişimi fazla. Makinenin acil bir çözüme kavuşması gerekiyor.
Arçelik Dayanıksız Ev Aletleri Pişmanlığı,Arçelik tkm9961 kahve makinesi kullanıcısıyım. Cihazı aldığım günden beri hazır suyla ve dikkatli kullanmama rağmen sorunu bitmiyor maalesef. Arçelik markasına güvenerek almıştım lakin cihazı alalı yaklaşık 3 yıl olmasına rağmen sensörleri arızalanmış. Cihazı servise götürdüğümde sensörü arızalanmış ama komple ana kartı değişmeliyiz dediler. Garantisi bittiği için 1600 TL tamir ücreti istendi. Sensör kısmı cihazın içerisinde olduğu için bu arızanın müşteri kaynaklı olmadığı malum. Şimdi düşündüğümde zamanın da Arçelik firmasına güvenerek almış olduğum bu ürünün rastgele ucuz markadan ne farkı var dedim. Üzgünüm ama Arçelik aldığıma pişman oldum ve gidip rastgele ucuz markanın kahve makinesini kullanıyorum en azından arızalanırsa gidip yenisini alırım diye düşünüyorum. Konuyu Arçelik firmasına iletmiştim ama ne yazık ki garantisi bittiği için 1600 lira tamir ücretini ödemem gerektiği söylendi. Son kez olarak buradan da tekrar şikayetimi belirtmek istiyorum ve Arçelik firmasını bir daha tercih ederken çok düşüneceğim. Talebim tabi ki elektronik cihazdır arızalanabilir ama neredeyse sıfır cihaz parasına müşteri hatası olmayacak bir arızanın giderilmesi bana garip geldiği için en azında indirimli bir şekilde arıza giderilebilirdi diye düşünüyorum. Dediğim gibi bu şekilde 2 yıl garanti zaten herhangi bir markada bile var artık Arçelik firmasının farkı nerede kalıyor.
Arçelik Yedek Parça Sorunu,Arçelik k2369 tost makinem ızgarası tamamen soyuldu. Bu makine üretimde olmadığı için parça yok deniliyor. Ürünü kullanamıyorum şu an ne yapmalıyım çöpe mi atmalıyım? Hiçbir şekilde ızgarasını temin edemiyorum Arçelik'ten bununla ilgili acil bir cevap bekliyorum.
Arçelik Set Üstü Cam Ocak Patladı,26.03.2023 tarihinde Arçelik set üstü cam ocağımız patladı. Üzerine çorba yapmak için tencere koyalı ön dakika olmadan hiçbir taşma vs yokken bum diye patladı. Müşteri hizmetlerini aradım kullanım hatası olabilir dediler. Bir ocak nasıl kullanım hatası ile bu hale gelebilir anlamadık. Yarın servis gelecek. Umarım çözüme kavuşturabiliriz.
Arçelik Paramı Aldı Sonra Ürün Yok Dedi,"26 Mart pazar günü İzmir Karşıyaka Mavibahçe Arçelik şubenize gittik. Ankastre ocak modellerinden ucuz olan modeli almaya karar verdik. Toplamda üç tane alacaktık ama bizimle ilgilenen personel sistemde açtı ve stok durumunu bize gösterdi. Mavibahçe kendi mağazalarında bir tane teşhir ile diğer üç mağazada bir tane kapalı kutu olduğu söylendi. Tek isteğim farklı iki mağazadan ürün geleceği için servisin aynı gün gelmesi oldu.Satış işlemini tamamladık ve hemen mağazadan ayrılıp evimize dönüyorduk. Bayiden biri aradı. İki evde de ankastre tezgah hazır mı diye sordu eve ®t cevabını verdim ve kapattık.
Sonra eve varmıştım ki tekrar aradı. Elimizde bir ürün var mağazaya gelin paranızı verelim dedi. Israrla stokları bana gösterdiler iki adet var dedim. Hayır yok diye diretti beni arayan kişi.Mağazaya gelemeyeceğimi evime vardığımı ve aracımın sekiz silindir yüksek hacimli olduğunu gidip dönmemin çok maliyetli olduğunu söyledim. Başka zaman gelir uğrarsınız dediler. IBAN vereyim para gönderin dedim olmaz dediler. Para dursun ocak gelince alayım olmaz dediler. Yaklaşık beş dakika konuştuk ve bana en son yamam muhasebeye söyleriz size bir şekilde parayı ulaştırsınlar para da bizden çıktıktan sonra beş gün içinde hesabınıza gelir dediler. Para verdiğim ürünü alamıyorum. Param ® başka bir hesapta bana iade edilemiyor. Bu nasıl kurumsallıktır."
Arçelik Çamaşır Makinesi İmtihanı Yani Cezası,Arçelik markası beyaz eşyalarda soğuma yarattı. Çamaşır makinesinde 90 derecede yıkanan bir kıyafetin daha kirli çıkması nasıl mümkün olabilir? Servis birkaç kez geldi ancak sonuç aynı; para almak ve garanti süresi bittiği için bize yardımcı olmamak. Tek hatamız seni tercih etmek oldu Arçelik. Keşke öyle olmasaydı. Resim de ekledim. Sürekli aynı sorun.
Arçelik Em 9194 O İmperium Espresso Makinesi,Arçelik den aldığım en kotu ürün Em 9194 o imperium espresso makinesi. 4 aydır hiç memnun kalmadım soğuk yapıyor sürekli ikaz ışıkları yanıyor. Şimdi de cappuccino bastığımda sütten sonra kahve vermiyor. Çok üzgünüm büyük hayal kırıklığı oldu. İns bir çözüme ulaşırım
Arçelik Buzdolabı Tamiri,Benim buzdolabım sebzelikte su akıtıyordu buzlanmaya dönüşüyor internetten aldım numarayı aradım servis göndermek için kayıt açtırdım servis geldi soğutucunun fanı bozuk dediler ve benden 5700 TL para talep ettiler ben de mecbur tam dedim ertesi günü geldiler parçayı değişip gittiler birkaç gün geçti bu sefer de yiyecekler donmaya başladı. Evime gelen servisçiyi aradım cevap vermediler mesaj attım cevap vermediler.
Arçelik Semaver Musluktan Su Kaçırıyor!,"Arçelik marka semaverimin 3. Ayıydı sanırım alt çemberi çatladı servise ilettim henüz piyasaya yeni çıkan bir ürün olduğu için firma yedek parça üretimi olmadığını belirterek ürünü değiştirdi.
Ben iade istemiştim kabul etmediler! Şimdi de eski semaverimi değiştirmeme neden olan arızayı tekrarladı! Musluk kısmı (maalesef 3. Makinem olmasına rağmen ) su kaçırıyor!
Garantisi bitti mi bilmiyorum gerçi bitmese ne olacak ürün elimde kaldı! Arçelik lütfen kendine yakışanı yapıp ilgilenir misiniz? En azından inovasyon ürünlerde müşteri memnuniyetini dikkate alınız lütfen!"
Arçelik Yetkilileri Parça Tedariğini Yapamadığından Mağdur Edildim,Arçelik marka çamaşır makinesini 2012 yılında evlenirken aldım. 2 kez motoru bozuldu ve değişimini Arçelik yetkili servisine yaptırdım. 1 hafta önce anakartı bozuldu ve motoru 3. Kez bozuldu. Yetkili servisten gelen arkadaşlar değişim olması lazım dediler. Bende değişimi kabul ettim. Aynı gün içerisinde yetkili servis aradı ana kart daha üretilmiyor tedariği yok bizim yapacağımız bir şey yok müdahale edemiyoruz cevabı aldım. Arçelik genel merkezi aradım mağduriyetimi anlattım makul fiyat ile değişim talebinde bulundum. Aldığım cevap 10 yılı 1 ay geçtiğinden size yardımcı olamayız. Şun muadili 18 bin tl olan çamaşır makinem Arçelik yedek parçasını tedarik edemediğinden hurda oldu.
Arçelik S4250 Süpürgede Hortum Sorunu,Arçelik Tornado S4250 model süpürgem var. Ürünüm gayet düzgün çalışıyor. Fakat hortumun boruya giriş ağzı kırıldı. hortum temini yokmuş. Ben şimdi sapasağlam çalışan ürünü çöpe mi atacağım? Servis yedek parça yok diyor. Diğer bayileri araştırın dediğimde yardımcı olmuyor.
Arçelik Buzdolabı Boya Atması 270531,Öncelikle çamaşır makinesi ile ilgili sorunum çözüldü bunun için teşekkür ederim. Şimdilik bir sıkıntı yok umarım böyle devam eder. Daha önceki şikayetimde de belirttiğim gibi sistemde bilgilerimide görüyorsunuzdur. Aldığım her üründe ayrı bir sıkıntı sorun yaşıyorum. Buzdolabım aldığımda kapak karşılık kenarında hafif bir kabarma vardı iki nokta halinde. Kabarık olan yerlerin boyası attı. Bunun için teknik serviste geldi. Sorunum çözüme ulaşmadı.'Teknik servis buna bir şey yapılmaz. Değişmesi gerekir. Fabrikaya resmini atarım değişirler mi bilmem 'dedi gitti. Bu sorunuma da bir çözüm bulunmasını rica ediyorum artık. Yapılmıyorsa da değişim istiyorum.
Arçelik TV İnternet Sorunu,Arçelik TV'yi internete bağlıyorum. Bağlantı başarılı görünüyor fakat internet ile alakalı hiçbir uygulamaya giremiyorum. Daha önceden böyle bir sorun yoktu. Hatta internet hızını yükselttik. Ayrıca Wi-Fi sinyal güçlendirici alıp kurdum. Neden böyle bir sorun oluyor yardımcı olur musunuz?
Arçelik A55 C985 TV USB Arızası,Arçelik 55 c985b modeli USB okumuyor cihazım sıfır daha 2 gün oldu kullanmaya başlayalı. Böyle bir sorun varsa bu cihazlarda bilgilendirme yapılmalı. Bu özellik 10 yıllık cihazlarda bile var. Yeni nesil cihazda nasıl olmaz. Lütfen acil bir şekilde yardımcı olur musunuz.
Arçelik Pişmanlıktır Bu Kadar Düşmemeliydi Yazık,Arçelik ile 5 yıldır sorun yaşıyorum. Buzdolabı aldığım günden beri her yaz arıza veriyor. Biz bunu buzdolabını aldığımız günden beri Arçelik firmasına bildirmemize rağmen bizi oyaladilar. En son mahkemeye verdik orada da bir şekilde yanlış beyanda bulunarak haklı çıkmaya çalışıyorlar. Buzdolabının 5 sene sonra arıza verdiğini dile getiriyorlar. Cidden yazık başka bir şey diyemiyorum. Eskiden bir kaliteydi Arçelik ama artık değil. Arçelik bu kadar düşmemeliydi. Bu şekilde Müşteri kaybetmeye devam edebilirsiniz. Mahkeme sonuçlandığı an bütün belgeleri paylaşacağım.
Arçelik Çamaşır Makinesi Çamaşırları Düğüm Yapıp Yıpratıyor!,Arçelik 10120M Model 10 kg çamaşır makinesi almış olduğum ilk günden itibaren kıyafetlere zarar verecek derecede düğümleyerek yıkamaktadır. 10 kg yıkama kapasiteli ve 1.200 sıkma devri olmasına rağmen kıyafetlere daha az zarar vermesi için sadece 5 adet gömlek 40 derece 600 devirde ve makinenin kullanma kılavuzunda yazan gömlek yıkama programında yıkanmasına rağmen gömlekler yıkama sonrasında birbirine kenetlenmek suretiyle düğüm haline gelip kumaşlarında eskime ve yıpranma oluşturması söz konusudur. 3 defa yetkili servis gelip makineyi incelemiştir teknik bir arıza olmadığı yönünde geri dönüş yapılmaktadırlar. Ancak yıkama sonrasında kıyafetlerin görüntüsünü kendilerine ilettiğimizde bir kez de yetkili servis huzurunda 2 saat 20 dakika'lik süre boyunca makine yıkaması izlenmiştir. Ve yine yetkili servis tarafından çıkan çamaşırların görüntüsü çekilmiştir. Belgelenen bu görüntülere rağmen Arçelik çamaşır makinesinin değişimine onay vermemektedir. Kurulumundan itibaren geçen süre boyunca mağdur edildim. Kıyafetlerim zarar gördü. Defalarca yetkili servis evime gelerek zaman kaybettim ancak çözüme ulaşmamıştır. Bir evdeki en büyük ihtiyaç olan temel beyaz eşya grubundaki çamaşır makinemin acilen farklı bir seri ile değiştirilmesini talep ediyorum.
Arçelik Servis Üslup Sorunu,Arçelik fırın ankastre set aldık servis geldi ve servisin üslubu çok kötüydü. Eve ® geldiler ve eski fırını sökme ücreti talep ettiler böyle bir şey Arçelik gibi bir firma nasıl yapar bir de biz Arçelik nasıl ücret ister dediğimizde biz Arçelik'e bağlı değiliz çok kolaysa siz sökseydiniz diyerek nasılsa iki vida dedi tavırla konuştu sizden şikayetçiyim hakkımı da sonuna kadar arayacağım.
Arçelik Yeteneksiz Servis!2 Aydır Oyalanıyorum. Ramazanda Mağduriyet,Arçelik buzdolabım daha 4. Senesinde arızalandı ve soğutmamakta başladı. Tam 2 kere gelip aynı parçayı değiştirdiler yine aynı oldu. Her seferinde şalteri açıp kapatıyorum içindekiler bozulmasın diye öyle kendine geliyor. Yaklaşık 2 aydır servis beklemekten yıldım artık. Arçelik Beylikdüzü yetkili servisi beni oyalıyor. 3. Kere arıza verdiği için buzdolabımın değişmesi gerekirken ürünü atölyeye alacağız dediler. 4 gün oldu hala gelen giden yok. Dün arayıp yarın geleceğiz dediler iftar yaklaşıyor hala gelen yok. Arçelik müşteri hizmetlerini sabahtan beri 3 4 kere aradım bana kimse dönüş yapmadı. Bir daha Arçelik asla!
Arçelik Buz Dolabımı Bozdu,Arçelik marka dolabımı ayaklar için çağırdığım servis gelip arkaya yatırdı ve arka gövdeyi kırdı. Burada başlıyor sorun. Sonra gelip ayak taktılar ücret ödedim. Devamı bitmedi sonra gelip menteşe değiştirdiler ve şu an buzluk kısmı buz tutuyor bilmiyorum. Kaçıncı gelişleri çözüm yok ortada alınan bir sürü ücret var. Ankara Yenimahalle servisiniz bilgisiz eleman dolu 20 farklı personelinizi gördüm. İş bilmeyen çözüm yok sizde Arçelik bitmiş bir firma.
Sarıyer Çayırbaşı Arçelik Yetikli Servis Ve Call Center,"Buzdolabımın derin dondurucu kısmı karlanma yaptı. 15 martta 4440888'i aradım telefonla çözüm önerdiler. Hallolmadı tekrar aradım bana servis yönlendirdiler. 0212 ***20'den arandım çayırbaşı gürdal teknik servis eve ® geldiler 21 Mart 2023 salı günü. Parça değişimi için sözleşildi Gelen teknisyenlerden a**** adında beni tekrar 0212 ****20 arayarak perşembe buzdolabınızın fişini çekin 25 Mart Cumartesi 15:00'den sonra geleceğiz diye sözleştik. Dediklerini yaptım. Ancak bugün 25 Mart cumartesi hala gelen yok. 4440888 ve 0212****20 no yeniden aradım Ne servis kaydı görülüyor ne de 21. Mart da evime gelindiğine dair kayıt görünmüyor.
Kimsiniz nesiniz? Arçelik nasıl olur da çalıştığı servis firmasına ulaşıp beni aramalarını sağlayamaz. Başka bir numara ile kayıt açılmıştır o yüzden görünmüyordur diyor ezberi bozuk call center çalışanı
dolaptaki tüm yiyeceklerim artık kullanılamaz halde... Muhatap bulamıyorum."
Arçelik Servis Hizmetinin Yetersizliği,19 Mart 2023 tarihinde Arçelik'ten kurutma makinesi aldık. Çamaşır makine üstüne kurulacağını aldığımız bayiye ve servise de bilgi verdik. Çalıştığımız için 25 Mart 2023 cumartesi gününe servis talep ettik. Gelen servis makineyi bırakıp gitti çamaşır makinesi üstüne kurulacağı için biz yapamıyoruz montaj ekibi gelmedi dedi. Tüm bildirimleri yaptığımız halde çalışan insanlar olduğumuz için mağdur olduk. Müşteri şikayeti bildirmemize rağmen kimse yardımcı olmadı. Kutulu ambalajı açılmamış şekilde makine banyo da durmaktadır. Gerekli her yere şikayet yapılacaktır.
Arçelik Servisi İşlem Yapmadan Ücret İstiyor,Arçelik televizyon 1 ay önce aldım. Ekranda çatlaklar var görüntü yok. Servis aramış barkod istiyor fotoğraf istiyor. 2026'ya kadar garanti vermiş sorunu görmeden ücret istiyor... Zaten oliz kayıtta kızlık soyadını bile istiyorlar. Garanti verdiğin durum nedir?
Arçelik Davlumbaz Kırık Gelmesi,06.02.2023 Arçelik siyah manuel turbo emaye set (130 s+p 27 ys+611 es ) sipariş verdim Hepsiburada ® dan ürün 10 şubatta elime ulaştı davlumbazın iç fani kırık şekilde geldi. Gelen arkadaşlar açtılar biz açmadık garantiye giriyor diye gelen arkadaşlar bunu aldığınız yere gönderin yenisini göndersinler dedi biz de öyle yaptık yanlış yapmışız Arçelik yetkili servisi tutanak tutup götürüp yenisini getirmeleri gerekiyormuş. Geri gönderdiler ürünü Arçelik servisini aradık geldiler bu sefer dışı ezilmiş adam fotoğrafını çekti abla dedi bu hemen değişime açık ben bölgeye bildirdim gelecek dediler kimse gelmedi yine aradım değişim talep ettim kabul etmediler tekrar tekrar aradım geleceklerdi gelmediler bir ay geçti bir ses yok tüketici hakemine başvuracağım bunu da görmezler se ilgilenin artık
Arçelik Fritöz Tırnağı Kırıldı Yedek Satılmıyormuş,Arçelik k1798 fritöz kapağını açmadan tırnağı kırıldı. Fakat servislerde yedek parça yokmuş. Nasıl üretiliyor bu fritözler Allah için? Benim tüm eşyalarım Arçelik ve fritözüm çok olmamıştı memnundum. Fakat tırnak kırılınca buhari disa veriyor. Bir tırnak ile tüm fritözü kullanamayacak miyim?
Arçelik Cam Ocak Lekelendi Demirleri Paslandı,Ağustos ayında aldığım Arçelik cam ocak üzerinde nokta nokta lekeler oluştu. 2 ay içinde oluşmaya başlamıştı ama bu kadar değil. Son 1 ayda arttı. Hiçbir şekilde geçmiyor ki aşırı yemek de yapmıyoruz ayrıca asla dökülen bir şeyi bekletmem çok takıntılıyım. Demirleri de paslandı leke leke oldu. Annemler yıllardır kullanıyor hiç böyle bir sorun yaşamadılar anlamıyorum Kıbrıs'a kalitesi düşük ürünler mi gönderiyorsunuz? 4 aydır mikrodalgamı da vermediniz yetkili yerlere iletiyoruz cümlesinden başka ilerleme hiç yok. Çaycımdan da cızırtılı sesler geliyor ve su akıtıyor ki geçmiş şikayetlerde belirtmiştim önceden ürünlerin çoğunda sorun yaşamam hiç normal değil. Arçelik gerçekten hep mi böyleydi?
Arçelik Çamaşır Makinesi Bozuk Ama Müdahale Etmiyorlar,Arçelik marka çamaşır makinesi için defalarca yetkili servis çağırmama rağmen makinenin problemi giderilmedi ve yeni yeni problemler çıkarmaya devam ediyor. En basit lekeyi çıkarmadığı gibi çamaşırları tüylendiriyor. Makinenin su ısıtmadığı için leke çıkarmadığı söyleniyor ama hala leke çıkarmıyor üstelik makine çok pis kokuyor.
